user_id,in_user,in_user_raw,location_is_US,country_is_US,raw_title_non_empty,raw_summary_non_empty,english_raw
146014208,1,1,1,1,0,0,0
88604673,1,1,1,1,1,0,0
152567810,0,0,0,0,0,0,0
21233668,1,1,0,0,1,0,0
83099658,0,0,0,0,0,0,0
191627279,0,0,0,0,0,0,0
107741200,1,1,0,0,1,0,0
189267983,1,1,0,0,1,1,1
152043538,1,1,0,0,1,1,1
100139027,1,1,0,0,1,1,1
93061139,1,1,0,0,0,0,0
166985749,1,1,0,0,1,0,0
140771345,0,0,0,0,0,0,0
134217754,1,1,0,0,1,1,1
53477406,1,1,0,0,1,0,0
145489950,1,1,0,0,1,0,0
101187618,1,1,0,0,1,1,0
33554467,1,1,0,0,1,1,1
203161634,1,1,0,0,0,0,0
68943919,1,1,0,0,1,1,1
118751284,1,1,0,0,1,0,0
159907893,1,1,0,0,1,0,0
51380281,1,1,0,0,1,1,1
129499194,0,0,0,0,0,0,0
33554497,1,1,0,0,1,0,0
93847626,0,0,0,0,0,0,0
9699405,1,1,1,1,0,0,0
33816653,0,0,0,0,0,0,0
143917135,0,0,0,0,0,0,0
75235410,0,0,0,0,0,0,0
185598042,1,1,0,0,0,0,0
170655835,1,1,1,1,1,0,0
183763036,1,1,0,0,1,0,0
134479964,1,1,0,0,1,1,1
127926371,0,0,0,0,0,0,0
99614820,1,1,0,0,1,0,0
190840931,1,1,0,0,0,0,0
35389543,1,1,0,1,1,0,0
65273960,1,1,0,0,1,0,0
152305769,1,1,0,0,1,1,1
39321709,1,1,0,0,0,0,0
5767279,1,1,0,0,1,0,0
140771442,0,0,0,0,0,0,0
71303283,1,1,0,0,1,0,0
37486709,0,0,0,0,0,0,0
148111480,1,1,0,0,1,0,0
68943998,0,0,0,0,0,0,0
119275648,1,1,0,0,1,1,0
90701953,1,1,0,1,1,0,0
16253058,1,1,0,0,1,0,0
180355203,1,1,0,0,1,0,0
62390409,1,1,0,0,1,0,0
98566281,1,1,0,0,1,1,0
8913037,0,0,0,0,0,0,0
172490900,1,1,0,0,1,1,1
45351063,0,0,0,0,0,0,0
87031962,1,1,0,0,1,0,0
151781530,1,1,0,0,0,0,0
96731291,1,1,0,0,1,0,0
190578850,1,1,0,1,1,0,0
2359459,1,1,0,0,1,1,1
150732965,1,1,0,0,1,0,0
42467498,1,1,0,0,1,0,0
110362795,1,1,0,0,1,1,1
167248046,0,0,0,0,0,0,0
10748083,1,1,0,0,1,0,0
115605684,0,0,0,0,0,0,0
81002677,1,1,0,0,1,0,0
109576376,1,1,1,1,1,0,0
129237180,1,1,0,0,1,0,0
40894652,1,1,0,0,1,0,0
103284924,1,1,0,0,0,0,0
25952451,1,1,0,0,1,0,0
56361157,0,0,0,0,0,0,0
127926469,0,0,0,0,0,0,0
53477575,1,1,0,0,0,0,0
165413072,1,1,0,0,1,0,0
15466705,1,1,0,0,1,0,0
16253140,0,0,0,0,0,0,0
182714585,1,1,0,0,1,0,0
70516954,1,1,0,0,0,0,0
69206233,1,1,0,0,0,0,0
197918944,0,0,0,0,0,0,0
7078116,1,1,0,0,0,0,0
208404713,1,1,1,1,1,1,1
152305897,1,1,0,0,1,0,0
55050475,1,1,0,0,0,0,0
157548787,1,1,0,1,1,1,1
119275764,1,1,1,1,1,0,0
171442425,1,1,0,0,1,0,0
174326010,1,1,0,0,0,0,0
122945789,1,1,0,0,1,0,0
67371262,1,1,0,0,0,0,0
144965887,1,1,0,0,0,0,0
66060544,1,1,0,0,1,0,0
